Gene ID,Gene Name,Score(d),Fold Change,q-value(%)
g93,ENSG00000127483.13,117.8,2.682,0
g7133,ENSG00000101161.6,117.7,14.621,0
g6275,ENSG00000186074.14,117.65,2.653,0
g675,ENSG00000163545.7,117.6,28.873,0
g4136,ENSG00000068831.14,117.6,17.26,0
g7059,ENSG00000196839.8,117.6,3.363,0
g3928,ENSG00000235027.1,117.55,9.428,0
g3844,ENSG00000076685.14,117.45,2.174,0
g4520,ENSG00000167778.4,117.45,29.603,0
g4101,ENSG00000089597.12,117.4,4.147,0
g1467,ENSG00000114268.7,117.35,6.892,0
g6861,ENSG00000131401.7,117.3,5.446,0
g5672,ENSG00000005844.13,117.2,4.43,0
g1936,ENSG00000163110.10,116.95,2.245,0
g5304,ENSG00000137824.11,116.95,18.962,0
g7244,ENSG00000159496.10,116.85,8.664,0
g6767,ENSG00000196235.9,116.8,4.303,0
g3934,ENSG00000205531.8,116.75,5.783,0
g6902,ENSG00000248166.1,116.75,2.784,0
g57,ENSG00000120949.10,116.7,6.028,0
g2603,ENSG00000137161.12,116.7,1.913,0
g6751,ENSG00000099341.7,116.6,1.976,0
g7365,ENSG00000100413.12,116.5,4.444,0
g654,ENSG00000159176.9,116.45,5.092,0
g1750,ENSG00000161204.7,116.45,27.912,0
g5684,ENSG00000103507.9,116.4,9.901,0
g73,ENSG00000157191.15,116.2,3.635,0
g6782,ENSG00000171570.6,116.05,4.428,0
g5883,ENSG00000213977.3,115.9,2.56,0
g6405,ENSG00000101782.10,115.85,2.339,0
g5560,ENSG00000259784.1,115.8,6.19,0
g6465,ENSG00000266920.1,115.75,5.354,0
g5550,ENSG00000197774.8,115.7,1018291308.173,0
g2992,ENSG00000146830.9,115.65,4.878,0
g3722,ENSG00000156515.17,115.65,11.164,0
g3617,ENSG00000159069.9,115.6,7.419,0
g7590,ENSG00000067829.14,115.6,2.228,0
g5687,ENSG00000260304.1,115.55,5169786637.418,0
g426,ENSG00000203865.5,115.5,2.841,0
g5728,ENSG00000102900.8,115.5,4.262,0
g2767,ENSG00000146426.13,115.35,13.482,0
g6115,ENSG00000126581.8,115.35,3.936,0
g2888,ENSG00000136271.6,115.3,7.347,0
g1524,ENSG00000163947.7,115.2,9.633,0
g7206,ENSG00000141959.12,115.15,14.562,0
g580,ENSG00000143149.8,115.1,13.101,0
g3396,ENSG00000232203.3,115.05,481075446.086,0
g5860,ENSG00000171861.6,115.05,22.175,0
g584,ENSG00000152382.5,114.9,2617552636.411,0
g5793,ENSG00000198373.8,114.65,2.626,0
