Gene_Id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000001497.12,158.665096081668,4.3486352742514,0.551455172369332,7.88574573626257,3.12662658936671e-15,1.83384275384868e-13
ENSG00000021355.8,3077.26637738164,-2.25306727168178,0.285982164067656,-7.87834891391604,3.31735297533869e-15,1.93391625877472e-13
ENSG00000156030.8,9966.22304196712,-3.21954940024894,0.409160112765835,-7.86867854367688,3.58406781290056e-15,2.07681616218617e-13
ENSG00000165685.4,226.185161114452,-4.01364604021197,0.510341491811402,-7.86462810610591,3.70195572928708e-15,2.13121337845496e-13
ENSG00000196961.8,137.049385907888,3.96260409345641,0.503895293757061,7.86394344728067,3.72225644641266e-15,2.13121337845496e-13
ENSG00000258818.2,126.211693448076,-5.73863846249975,0.730023826202023,-7.86089200999813,3.81407506441184e-15,2.17086319790399e-13
ENSG00000099622.9,876.44137933139,2.82976499252332,0.360858917305075,7.84174882986474,4.44314421244736e-15,2.51403553997242e-13
ENSG00000075420.8,898.905263761357,-3.47301662284621,0.443033695475696,-7.83917037984468,4.53532823621054e-15,2.5511884388368e-13
ENSG00000168961.12,967.13547937434,2.42305727910595,0.310346377593174,7.80759001570266,5.82918422183136e-15,3.25993738545325e-13
ENSG00000130702.9,59.5467312157966,2.98296905135189,0.383235033801518,7.78365438504458,7.04590770672595e-15,3.91760614052005e-13
ENSG00000163563.7,1329.17297335239,-3.13682911362013,0.40337362296516,-7.77648545921671,7.45671504728958e-15,4.12219207125738e-13
ENSG00000115009.7,572.098157184019,-5.68728565999471,0.732964016924772,-7.7592972215148,8.54012937528754e-15,4.6941431120509e-13
ENSG00000219699.2,179.315022409212,-5.20380223377131,0.672177553413082,-7.74170783797856,9.8090186063827e-15,5.36096306674973e-13
ENSG00000127948.9,25.1077374053556,4.37003540651276,0.565496990068118,7.72777836710742,1.09439664198814e-14,5.94745836117736e-13
ENSG00000136286.10,1358.33193641547,3.47840474374853,0.450331144781814,7.7241043264592,1.12642559137839e-14,6.08712795700493e-13
ENSG00000261346.1,64.7789591913117,4.36718468723222,0.565528791525373,7.72230300680682,1.14246405761463e-14,6.13930825150568e-13
ENSG00000133872.9,2388.94901047667,1.88372725910248,0.244170361492835,7.71480718456386,1.21165268662338e-14,6.47493732923904e-13
ENSG00000180353.6,4144.92852125427,1.86661446675208,0.242042313414203,7.71193449782384,1.23924736479358e-14,6.54962659447772e-13
ENSG00000137818.7,2828.08829609775,-2.09221845047664,0.271280782718626,-7.71237250759007,1.23500028975172e-14,6.54962659447772e-13
ENSG00000250075.1,235.463277150906,-5.07622482529816,0.6608651503143,-7.68118098356974,1.5762859780846e-14,8.28540700721082e-13
ENSG00000122862.4,36496.0431183374,-2.54622280838236,0.331546284340299,-7.67984118250265,1.59285939769671e-14,8.32701877524166e-13
ENSG00000171148.9,217.590792498962,4.23272419329845,0.551439268463459,7.67577580227936,1.64420480566324e-14,8.54897623009443e-13
ENSG00000197471.7,565.548146557201,2.83294718582003,0.369125139628718,7.67476089184694,1.65727495168198e-14,8.57060632270375e-13
ENSG00000184840.7,506.901537454389,3.81479729111707,0.497851244790503,7.66252436050923,1.82313536693564e-14,9.37793534468126e-13
ENSG00000133657.10,935.545918320408,-3.63560219450104,0.475294187697751,-7.64916190562168,2.02293407322969e-14,1.03503206651045e-12
ENSG00000241469.3,198.229057642194,-5.48731771619785,0.718324548216062,-7.63905080207191,2.18828958807567e-14,1.11192824234682e-12
ENSG00000062716.6,6402.56667210266,-2.03550978402357,0.266477591847947,-7.63857767517294,2.19634438138991e-14,1.11192824234682e-12
ENSG00000128928.4,210.828712689429,4.5153359426662,0.591608309451614,7.63230649490311,2.30590417963783e-14,1.16128231957782e-12
ENSG00000047457.9,210.610124904393,-4.29671998148534,0.564209009867439,-7.61547565944552,2.62722149670367e-14,1.31621060295795e-12
ENSG00000127954.8,364.481289452911,-5.84243008093569,0.767669489095497,-7.61060607973296,2.7281354510332e-14,1.35968574629473e-12
ENSG00000142102.11,52.257505992566,4.59727645454225,0.604226274776847,7.60853449519407,2.77221270810788e-14,1.37453165150978e-12
ENSG00000105701.11,33.1935909483599,4.39669696160726,0.578065958786039,7.60587419961642,2.8298445348943e-14,1.39591151698196e-12
ENSG00000121552.3,524.214800594388,-3.01215287437923,0.396238578925372,-7.60186674035729,2.91889224963148e-14,1.43249104842884e-12
ENSG00000018280.12,3429.61785872931,2.24479935682251,0.295656635816845,7.59258912156846,3.13575662392144e-14,1.53110877997464e-12
ENSG00000204160.7,126.926951199502,4.28689552702072,0.566156455505397,7.57192730972906,3.67727224351268e-14,1.78644857122972e-12
ENSG00000151491.8,321.091395363818,4.51998527192641,0.59712558777409,7.56957223818795,3.74455190601112e-14,1.80999220019704e-12
ENSG00000117115.8,153.069845770291,-4.76464146096453,0.630435634630165,-7.55769693088436,4.1026859596161e-14,1.97318681227736e-12
ENSG00000198574.4,179.067566569834,5.93669969893826,0.787293019348866,7.54064821233679,4.67641068837624e-14,2.23793007022344e-12
ENSG00000149577.11,866.105595063505,3.49020937545781,0.462940891482092,7.53921167837217,4.72820944804149e-14,2.25151716241144e-12
ENSG00000111729.8,649.862433269389,-2.77347248526387,0.36872176767512,-7.52185720618362,5.400354843582e-14,2.55891690839484e-12
ENSG00000269711.1,92.1945220500301,-3.06190546075493,0.407386759977606,-7.51596704056666,5.64917853600716e-14,2.66369844793396e-12
ENSG00000028277.16,1041.27878271549,2.17739753273428,0.290017500368635,7.50781428695384,6.01227136053267e-14,2.82107503497384e-12
ENSG00000138606.15,218.62122422511,-4.36759027465935,0.581913594674538,-7.50556494061996,6.11642392547551e-14,2.85601367665772e-12
ENSG00000243317.3,697.16844606994,-1.8332797915331,0.244336491189891,-7.50309453412067,6.23285673021749e-14,2.89632120231701e-12
ENSG00000168067.7,42.9691095093403,4.42804682789107,0.591390458023794,7.48751821713179,7.01881247829882e-14,3.2458633283056e-12
ENSG00000057657.10,2321.39323112615,-4.65888574765977,0.623104055371421,-7.47689845299224,7.60971692951168e-14,3.50229029401784e-12
ENSG00000224397.1,2716.77235141245,2.10832746615514,0.282170991576963,7.47180797846147,7.91003803236961e-14,3.62317408730301e-12
